Year,Team,OPS,OBP
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1951,Brooklyn Dodgers,0.786,0.352
